Producent ,Flaske,Årgang ,Land,Område/region,Primær drue,Farve,Mousserende,Pris,Bemærkning
Domaine Karanika,Cuvee speciale,2023,Grækenland,Amyntaio,Xinomavro,Hvid,Ja,299,Bland de blanc. Druen sammenlignes med nebbiolo
Panagiotis,Sant'or,2023,Grækenland,Peloponesse,Rofitis,Hvid,Nej,215,Halvø
Iliana Malihin Winery,Old Vine Vidiano -Rhea,2022,Grækenland,"Rethymno, Kreta",Vidiano,Hvid,Nej,479,Kreta.
Halkia Wines,Agiorgitiko,2024,Grækenland,"Nemea, Peloponesse",Agiorgitiko,Rød,Nej,196,Ståltank. 5 dages maceration. 
Sclavos,Monambeles,2020,Grækenland,"Lixouria, Kefalonia",Mavrodaphne,Rød,Nej,269,12 måneder på frisk egetræ.
Economou Estate,Mirabello,2015,Grækenland,"Sitia, Kreta","Liatiko, mandilari",Rød,Nej,599,akin to a blend of Pinot Noir and Nebbiolo
